sku,vendor_name,vendor_code,collection,fabric,colour_code,seq,title,description,image_url,price,cost,qty,shopify_status,product_type,handle
HDR-VINT-SBS-MST-569,HDR,HDR,VINT,SBS,MST,569.0,RIDHAMIKA(ರಿಧಾಮಿಕಾ),A stunning dark mustard semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a mustard striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02416.jpg,3499.00,1200.00,0,active,SAREES,ridhamikaridhaamikaa
HDR-VINT-SBS-PUR-568,HDR,HDR,VINT,SBS,PUR,568.0,RUPRIYA(ರೂಪಿಯಾ),A stunning grape purple semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a purple striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02475.jpg,3499.00,1200.00,0,draft,SAREES,rupriyaruupiyaa
HDR-VINT-SBS-GRY-567,HDR,HDR,VINT,SBS,GRY,567.0,RESHA (ರೇಷಾ),"A stunning slate grey semi Bangalore silk saree with a pink border and a double rudraksham zari border. The saree has a pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240427-DSC08513.jpg,3499.00,1200.00,0,draft,SAREES,reshareessaa
HDR-VINT-SBS-MRN-566,HDR,HDR,VINT,SBS,MRN,566.0,PRATISHTA (ಪ್ರತಿಷ್ಠಾ),"A stunning maroon semi Bangalore silk saree with a green border and a double rudraksham gold zari border. The saree has a green striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes ( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02372.jpg,3199.00,1200.00,0,draft,SAREES,pratishthaprtisstthaa
HDR-VINT-SBS-GRN-565,HDR,HDR,VINT,SBS,GRN,565.0,PUJITHA(ಪೂಜಿತ),"A stunning olive green semi Bangalore silk saree with a pink border and a double rudraksham gold zari border. The saree has a pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes ( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02429.jpg,3499.00,1200.00,0,draft,SAREES,pujithapuujit
HDR-VINT-SBS-GRN-564,HDR,HDR,VINT,SBS,GRN,564.0,PRASTI(ಪ್ರಶ್ತಿ),"A stunning dark teal green semi Bangalore silk saree with a dark pink border and a double rudraksham zari border. The saree has a pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes ( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC01489.jpg,3199.00,1200.00,0,draft,SAREES,prastiprshti
HDR-VINT-SBS-MST-563,HDR,HDR,VINT,SBS,MST,563.0,OMKARI (ಓಂಕಾರಿ),A stunning dark mustard semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a bottle green striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02131_da8275e0-c41b-4e64-a9a7-368f5b770c91.jpg,3499.00,1200.00,-1,active,SAREES,omkarioonkaari
HDR-VINT-SBS-GRN-562,HDR,HDR,VINT,SBS,GRN,562.0,ODATHI (ಓಡತಿ),A stunning light olive green semi Bangalore silk saree with a reddish-pink border and a double rudraksham gold zari border. The saree has a dark pink striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02390.jpg,3499.00,1200.00,0,draft,SAREES,odathiooddti
HDR-VINT-SBS-GRN-561,HDR,HDR,VINT,SBS,GRN,561.0,NIVASHNI(ನಿವಶ್ನಿ),"A stunning dark forest green semi Bangalore silk saree with a dark pink border and a double rudraksham gold zari border. The saree has a magenta striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02077_ae4769ec-b620-40ef-bebb-efe13055f506.jpg,3199.00,1200.00,0,draft,SAREES,nivashninivshni
HDR-VINT-SBS-PNK-560,HDR,HDR,VINT,SBS,PNK,560.0,NAGAKANTI (ನಾಗಕಾಂತಿ),A stunning pastel pink semi Bangalore silk saree with a green border and a double rudraksham zari border. The saree has a purple striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02199.jpg,3499.00,1200.00,20,active,SAREES,nagakantinaagkaanti
HDR-VINT-SBS-PNK-559,HDR,HDR,VINT,SBS,PNK,559.0,NAGANANDINI(ನಾಗನಂದಿನಿ),A stunning pastel pink semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a bottle green striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02265.jpg,3499.00,1200.00,-1,active,SAREES,naganandininaagnndini
HDR-VINT-SBS-XX-558,HDR,HDR,VINT,SBS,XX,558.0,SURYANI (ಸೂರ್ಯಾನಿ),"A stunning dark maroonish-pink semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a bottle green striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02278.jpg,3199.00,1200.00,11,draft,SAREES,nakiskanaakiskaa
HDR-VINT-SBS-SLV-557,HDR,HDR,VINT,SBS,SLV,557.0,NAOMIKA(ನವೋಮಿಕಾ),A stunning grey semi Bangalore silk saree with a bottle green border and a double rudraksham gold zari border. The saree has a dark green striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240129-DSC02327.jpg,3499.00,1200.00,2,active,SAREES,naomikanvoomikaa
